charge,carge carrier, charge distribution, charge polarization, charging by induction, conduction, conductor, conservation of charge, coulomb, coulomb's law, electric force, electric interaction, elementary charge, grounding, insulator, ion, negative charge, neutral, positive charge
page	head	15430	19250	19256	11978	sent
3		6	5	11	3	Depending on the humidity of the air, the discharging can take minutes or hours, but you can speed up the discharging by rubbing your fingers a few times over the entire length of a suspended charged strip of tape.
3		5	0	5	2	(The rubbing allows the charge to "leak away" from the tape by distributing itself over your body.)
3	FN	1	1	1	0	*If rubbing your fingers along the tape doesn't do the job, try licking them before rubbing them over the tape.
3	FIG	0	0	1	0	Figure 22.4
3	FIG	1	1	0	1	Figure 22.2  Strips of tape just pulled out of a dispenser repel each other.
3	FIG	1	1	0	1	The repulsive force is great enough to keep the strips apart even when they are weighted down by paper clips.
3	FIG	2	1	0	1	Figure 22.3  Procedure for making strips of transparent tape that interact electrically.
3	FIG	2	1	0	1	The purpose of the foundation  strip is simply to provide a  standard surface.
4	HT	0	0	0	0	22.4 (a) Prepare a charged strip of transparent tape as described in Figure 22.3 and then suspend the strip from the edge of your desk.
4	SM	0	0	0	0	Verify that the tape interacts as you would expect with your hand, with a strip of paper, and with another charged strip of tape.
4	SM	0	0	0	0	(b) Rub your fingers along the hanging strip to remove all the charge from it, and then verify that it no longer interacts with your hand.
4	SM	0	0	0	0	If it does interact, rub again until it no longer interacts.
4	SM	0	0	0	0	(c) Predict and then verify experimentally how the uncharged suspended strip interacts with a strip of paper and with a charged strip of tape.
4	P	2	1	6	2	To restore the charge on a discharged strip, stick the strip on top of the foundation strip from which you pulled it off (step 1 in Figure 22.3), smooth it out, and then quickly pull it off again.
4		2	1	9	5	You can recharge a strip quite a few times before it loses its adhesive properties.
4		2	1	9	5	Once the tape does lose its adhesiveness, however, recharging it becomes impossible.
4		2	1	6	1	It is generally a good idea to rub your finger over the foundation strip before you reuse it to make sure that it, too, is uncharged.
4	HT	0	0	0	0	22.5 Recharge the discharged strip from Checkpoint 22.4 and verify that it interacts as before with your hand, with a strip of paper, and with another charged strip of tape.
4	P	2	4	7	1	A discharged tape strip interacts in the same way as objects that carry no charge.
4	DF	2	4	7	1	Such objects are said to be electrically  neutral.
4		2	3	7	1	They do not interact electrically with other neutral objects, but they do interact electrically with charged objects.
4		1	1	5	1	We shall examine this surprising fact in more detail in Section 22.4.
4	P	0	1	0	1	Where does the electrical charge on a charged tape strip come from?
4		0	0	0	2	Is charge created when two strips are pulled apart as in Figure 22.3?
4		0	1	0	2	This is something we can check by sticking two strips of tape together, rubbing with our fingers to remove all charge from the combination, and then quickly separating the two strips (Figure 22.5).
4	HT	1	0	0	0	22.6  Follow the procedure illustrated in Figure 22.5 to separate a pair of charged strips.
4	SM	1	0	0	0	(a) How does strip B interact with a neutral object?
4	SM	1	0	0	0	How does strip T interact with a neutral object?
4	SM	1	0	0	0	(b) Create a third charged strip and see how it interacts with strip B and with strip T. (c) Is strip T charged?
4	SM	1	0	0	0	(d) Is strip B charged?
4	SM	1	0	0	0	(e) Check what happens to the interactions with B and T strips when you discharge a B or a T strip by rubbing your fingers along its length.
4	P	1	1	1	2	As Checkpoint 22.6 shows, separating an uncharged pair of strips produces two charged ones, but the behavior of strip B is different from that of the other strips we have encountered so far!
4	HT	0	0	0	0	22.7 Make two charged pairs of strips (B and T) following the procedure illustrated in Figure 22.5.
4	SM	0	0	0	0	Investigate the interaction of B with T, T with T, and B with B.
4	P	0	0	1	1	The interactions between the B and T strips are illustrat-ed in Figure 22.6: Strips of the same type repel each other, while strips of different types attract each other.
4		1	1	6	1	This series of experiments leads us to conclude that there are two types of charge on the tapes, one type on B strips and another type on T strips.
4		1	1	7	1	Strips that carry the same type of charge, called like charges, exert repulsive forces on each other; strips that carry different types of charge, called opposite charges, exert attractive forces on each other.
4	P	0	0	1	0	Having determined that two types of electrical charge exist, a logical next question is: Are there even more types?
4	HT	0	0	0	0	22.8  (a) Prepare one charged strip of tape according to  Figure 22.3 and hang it from the edge of your desk.
4	SM	0	0	0	0	Hang a narrow strip of paper from the desk edge also, about 0.5 m away from the tape strip.
4	SM	0	0	0	0	Pass a plastic comb six times quickly through your hair and then show that the comb is charged.
4	SM	1	0	0	0	Be sure to use a plastic comb; combs made from other materials do not acquire a charge when passed through hair.
4	SM	0	0	0	0	The cheapest type of comb usually works best.
4	SM	0	0	0	0	(b) Make a pair of oppositely charged B and T strips (Figure 22.5) and investigate how they interact with a charged comb.
4	SM	0	0	0	0	(c) Does your comb behave like a B strip, a T strip, or neither?
4	FIG	0	0	0	0	Figure 22.5  Procedure for making strips of transparent tape that carry opposite charges.
5	P	1	1	0	0	Experiments show that any charged object-obtained by rubbing objects together or otherwise-always attracts either a B strip or a T strip and repels the other.
5		1	1	0	0	No one has ever found a charged object that repels or attracts both types of strips.
5	SY	1	5	6	5	In other words: There are two and only two types of charge.
5	SY	1	5	6	4	Objects that carry like charges repel each other; objects that carry opposite charges attract each other.
5	P	2	4	7	3	The two types of charge never appear independently of each other: Whenever two neutral objects are either rubbed together and then separated or, if an adhesive surface is involved, stuck together and then separated and one of them acquires a charge of one type, the other object always acquires a charge of the other type.
5		2	4	4	1	The generation of opposite charges is obvious when you separate a neutral pair of tape strips.
5		2	4	4	1	When you pass a comb through your hair, the comb acquires a charge of one type and your hair acquires a charge of the other type.
5		2	1	2	1	On a dry day, you may have noticed that some hair strands stand up away from your head.
5		2	1	2	1	Each charged strand is being repelled by the other charged strands, and so they are all getting as far away from one another as possible.
5	P	2	0	2	2	It can be shown that when two tape strips are separated, the forces exerted by the B strip and the T strip on a third charged strip are equal in magnitude, although one is attractive and the other repulsive.
5		2	0	3	2	Furthermore, when the B and T strips are recombined, the combination is neutral again.
5		2	1	3	1	These observations suggest that after you rub and then separate a pair of objects, the objects carry equal amounts of opposite charge.
5		1	1	3	1	Combining these equal amounts of opposite charge produces zero charge.
5		0	1	3	1	These observations indicate that all neutral matter contains equal amounts of positive and negative charge.
5		0	1	2	0	The two types of charge are called positive and negative charges.
5	SY	1	4	9	3	The definition of negative charge is as follows: Negative charge is the type of charge acquired by a plastic comb that has been passed through hair a few times.
5	HT	0	0	0	0	22.9 Does the B strip you created in Checkpoint 22.8 carry a positive charge or a negative charge?
5	P	3	2	7	3	When two neutral objects touch, some charge can be transferred from one object to the other, with the result that one object ends up with a surplus of one type of charge and the other object ends up with an equal surplus of the other type of charge.
5		4	2	7	3	For example, when a neutral piece of styrofoam is rubbed with a neutral piece of plastic wrap, the styrofoam acquires a positive charge (meaning it contains more positive than negative charge) and the plastic wrap acquires a negative charge (it has a surplus of negative charge).
5		2	0	2	1	Without further information, however, we cannot tell whether positive charge has been transferred from the wrap to the styrofoam, or negative charge has been transferred from the styrofoam to the plastic wrap, or a combination of these two.
5		2	1	0	0	(See Figure 22.7 on the next page.)
5	SY	2	4	2	2	Summarizing: All neutral matter contains equal amounts of positive and negative charge; charged objects contain unequal amounts of positive and negative charge.
5	P	0	0	4	0	In illustrations, surplus charge is represented by plus or minus signs.
5		0	0	2	0	Keep in mind, however, that these signs never represent the only type of charge in an object.
5		1	4	2	1	The plus signs on the positively charged styrofoam in Figure 22.7, for  example, mean only that the styrofoam contains more positive than negative charge, either because some of its negative charge has been removed or because some positive charge has been added.
5		0	1	0	1	In addition to the 12 positive charge carriers shown in Figure 22.7, the styrofoam contains millions and millions of positive charge carriers paired with millions and millions of negative charge carriers.
5		0	1	2	1	A drawing such as Figure 22.7, shows only unpaired charge carriers (usually referred to as surplus charge).
5	P	0	0	2	0	As our observations in Figure 22.6 show, oppositely charged B and T strips attract each other.
5		0	0	2	0	The interaction between positive and negative charge tends to bring positive and negative charge carriers as close together as possible.
5		2	1	5	1	Because combining equal amounts of positive and negative charge results in zero charge, we can say that charge carriers always tend to arrange themselves in such a way as to produce uncharged objects-indeed, all matter around us tends to be neutral.
5	FN	0	1	0	1	*Historically, negative charge was (arbitrarily) defined by Benjamin Franklin (17061790) as the charge acquired by a rubber rod rubbed with cat fur.
5	FN	0	0	0	1	Because plastic combs and hair are more easily accessible than rubber rods and cat fur, the definition of negative charge given here is more convenient.
5	FIG	2	0	0	0	Figure 22.6  Interactions of B and T charged strips.
6	HT	0	0	0	0	22.10 Imagine having a collection of charged marbles that retain their charge even when they touch other objects.
6	SM	0	0	0	0	Red marbles are positively charged, and blue marbles are negatively charged.
6	SM	0	0	0	0	(a) What happens if you place a bunch of red marbles close together on a flat horizontal surface?
6	SM	0	1	0	0	(b) What happens if you do the same with a bunch of blue marbles?
6	SM	0	0	0	0	(c) What happens if you do the same with an equal mixture of red and blue marbles?
6	SM	0	0	0	0	(d) What happens in part c if you have a few more red marbles than blue ones?
6	SM	0	0	0	0	(e) As a whole, is the collection of marbles in part d positively charged, negatively charged, or neither?
6	H1	0	0	0	0	22.3 Mobility of charge carriers
6	P	2	1	7	1	To gain a better understanding of electrical charge, many additional experiments are required, most of which require items not easily found at home.
6		2	3	8	1	A rubber rod rubbed with a piece of cat fur acquires-by Benjamin Franklin's original definition-a negative charge (and the fur acquires a positive charge).
6		2	3	8	2	A glass rod rubbed with silk acquires a positive charge (and the silk a negative charge).
6		2	1	8	2	Other materials also acquire a charge upon contact or rubbing, but these two combinations of rubber/fur and glass/silk provide the most convenient means of generating relatively large amounts of charge.
6	P	1	2	2	0	Interesting things happen when a charged rubber rod is brought into contact with an uncharged pith ball.
6		1	1	3	0	As the rod is brought near the ball, the ball moves toward the rod because of the attraction between the charged rod and the neutral ball ( Figure 22.8a).
6		1	0	3	0	As the ball touches the rod, however (Figure 22.8b), the crackling sounds of tiny sparks may be heard.
6		1	1	2	0	The ball suddenly jumps away from the rod (Figure 22.8c), indicating that the interaction between rod and ball has become repulsive.
6		0	3	2	0	This repulsive interaction indicates that the ball has acquired the same type of charge as the rod (negative).
6		1	4	2	1	In other words, some of the surplus negative charge on the rod has been transferred to the ball.
6	SY	2	5	5	6	Charge can be transferred from one object to another by bringing the two into contact.
6	P	2	1	1	0	We can use this phenomenon to investigate the electrical behavior of different kinds of materials.
6		2	1	1	0	For example, if we transfer some charge to one end of an uncharged rubber rod and then extend the charged end toward an uncharged pith ball, the two interact electrically, as shown in Figure 22.9a.
6		2	0	1	0	If we hold the uncharged end near the pith ball, as in Figure 22.9b, however, no interaction occurs.
6		2	1	4	0	This tells us that the charge does not flow from one end of the rubber rod to the other; instead, it remains near the spot where it has been deposited.
6	DF	1	4	3	1	Any material in which charge doesn't flow (or moves only with great difficulty) is called an electrical insulator.
6	SY	2	5	6	2	Electrical insulators are materials through which charge carriers cannot flow easily.
6		1	3	2	2	Any charge transferred to an insulator remains near the spot at which it was deposited.
6	FIG	2	1	0	0	Figure 22.7  Rubbing neutral styrofoam with neutral plastic wrap leaves the two objects with equal charges  of opposite types.
6	FIG	2	0	2	1	Figure 22.8  A charged rubber rod can transfer charge to a neutral pith ball.
7	P	6	3	4	3	Glass, rubber, wood, and plastic are examples of electrical insulators.
7		6	3	4	3	Air, particularly dry air, is also an insulator, although the presence of large amounts of charge can cause charge carriers to "jump" from one object to another, causing sparks.
7	EX	0	0	0	0	Exercise 22.1 Electric forces 
7	SM	0	0	0	0	(a) Draw a free-body diagram for the pith ball in Figure 22.9a.
7	SM	0	0	0	0	(b) Two identical neutral pith balls A and B are suspended side by side from two vertical strings.
7	SM	0	0	0	0	After some charge is transferred from a charged rod to A, A and B interact.
7	SM	0	0	0	0	(B remains neutral because the two balls never come into contact with each other.)
7	SM	0	0	0	0	Sketch the orientation of A and B after the charge has been transferred to A.
7	SM	0	0	0	0	(c) Draw a free-body diagram for each ball.
7	EX	0	0	1	0	Solution  
7	SM	0	0	1	0	(a) The ball is subject to three forces: a gravitational
7	SM	0	1	0	0	force, a contact force exerted by the string, and an attractive electric force exerted by the charged particles in the rod.
7	SM	0	1	0	0	This last force is directed horizontally toward the rod.
7	SM	0	1	0	0	Because the ball is at rest, I know that the vector sum of these three forces is zero.
7	SM	1	0	0	0	So the horizontal component of the force exerted by the string on the ball must be equal in magnitude to the electric force exerted by the rod on the ball, and the vertical component of the force exerted by the string on the ball must be equal in magnitude to the gravitational force exerted by Earth on the ball (Figure 22.10a). 
7	SM	1	0	0	0	(b) As we saw in Section 22.2, a neutral object interacts electrically with a charged object.
7	SM	0	0	0	0	The electric force exerted by A on B and that exerted by B on A form an interaction pair and so their magnitudes are equal.
7	SM	0	0	0	0	Because the masses of the pith balls are the same, each is pulled in by the same distance.
7	SM	0	0	0	0	Thus my sketch is as shown in Figure 22.10b.
7	SM	0	0	0	0	(c) See Figure 22.10c.
7	P	0	0	2	0	In  Figure 22.11, a charged rod is brought into contact with an uncharged metal rod supported on an electrically insulating stand.
7		0	1	2	0	Once the charged rod has touched the metal rod, all points on the surface of the metal rod interact electrically with other objects, indicating that the charge spreads out over the metal rod.
7		1	1	2	0	The tendency of charge to spread out over metal objects can be demonstrated with an electroscope ( Figure 22.12a).
7		0	0	4	0	Two strips made of metal foil are suspended from a small metal rod in an electrically insulating enclosure; the rod is connected to a metal ball on top of the enclosure.
7		0	1	4	0	When the metal ball is charged by an exterior source, the strips move away from each other.
7		0	1	4	0	The explanation for this movement is that the added charge quickly moves from the metal ball through the metal rod and onto the two metal strips.
7		0	0	1	0	Once the strips carry the same type of charge, they repel each other (Figure 22.12b).
7	FIG	2	0	0	0	Figure 22.9  A rubber rod is an example of an electrical insulator.
7	FIG	0	0	1	1	Figure 22.11  A metal rod is an electrical conductor.
7	FIG	0	1	1	1	Figure 22.12  An electroscope depends on electrical conduction.
8	P	0	2	1	0	Another demonstration of the free motion of charges through metals is shown in Figure 22.13: When a long wire is used to connect a charged metal sphere to an uncharged metal sphere, charged particles flow from the charged sphere to the uncharged one.
8		1	1	1	1	Because wires are made of metal, this experiment shows that, in contrast to what happens with electrical insulators, charge moves easily through a metal and across a metal-to-metal contact.
8	DF	2	2	1	1	Materials through which charge carriers can flow are called electrical conductors, and the flow of charge through conductors is called conduction.
8	SY	2	2	6	2	Electrical conductors are materials through which charge carriers can flow easily.
8	SY	2	3	6	3	Any charge transferred to a conductor spreads out over the conductor and over any other conductors in contact with it.
8	P	4	3	1	3	Metals are the only solid materials that are conductors at room temperature.
8		3	3	1	3	(As noted earlier, glass, plastic, and most other solids are electrical insulators.)
8		2	4	1	3	Although charge does not flow easily through pure water, minute amounts of impurities turn water into a fairly good conductor.
8		2	4	1	1	Because most water contains some impurities, water is therefore usually considered a conductor.
8	P	0	0	0	0	Except for the outer layer of soil, Earth is also a good conductor.
8	DF	4	4	4	2	Consequently, when a charged, conducting object is connected to Earth by a wire, a process called grounding, charge carriers can flow between Earth ("ground") and the object.
8		2	5	5	2	Because Earth is so large, it can supply or absorb a nearly unlimited number of charge carriers.
8		2	6	4	2	In the absence of other nearby electrical influences, the grounded object is left with no surplus of either type of charge.
8	P	2	4	2	1	Because of its high water content, the human body is a conductor.
8		2	1	3	0	Consequently, any time you touch a charged object, as in Figure 22.14, some of the charge moves into you - you act like a grounding agent just the way Earth does.
8		2	1	4	1	As long as you keep touching the object, charge flows into your body, reducing the charge on the object (Figure 22.14).
8		2	1	3	0	If the charge on the object is large, the charge that accumulates on your hair makes your hair stand up and separate as far as possible, like the leaves of an electroscope (Figure 22.15).
8	HT	2	0	1	0	22.11 (a) Why is it impossible to charge a metal rod held in your hand by rubbing the rod with other materials?
8	SM	1	0	1	0	(b) Why can you charge a rubber rod even when you hold it in your hand?
8	P	0	0	0	0	Is charge some sort of fluid that flows from one object to another, or is it composed of small particles that can be peeled off or stuck onto objects?
8		0	0	0	0	To answer this question, we must look at the atomic structure of matter.
8		0	0	0	0	All matter consists of atoms (see Section 1.3), the structure of which is schematically illustrated in Figure 22.16.
8		0	0	0	0	Nearly all the atom's mass is concentrated in the extremely small nucleus at the center.
8		0	0	0	0	The nucleus is composed of protons and neutrons.
8		0	0	0	0	The region surrounding the nucleus, representing most of the atom's volume, is a cloud of electrons.
8	FIG	2	3	1	0	Figure 22.13  A conducting wire distributes charge between two conducting spheres.
8	FIG	0	3	2	3	Figure 22.14  Because of its water content, the human body is a  conductor.
8	FIG	0	0	0	0	Figure 22.15  Charge spreads over the human body, so a large charge will cause your hairs to repel one another and stand on end.
9	P	0	2	2	0	Experiments show that electrons have a negative electrical charge-they are repelled by a charged comb and by other electrons.
9		1	1	0	0	Protons carry a positive charge, and neutrons carry no charge.
9		1	1	0	0	The protons and neutrons in the nucleus are held together tightly by the strong interaction (see Chapter 7), which is great enough to overcome the electrical repulsion between the positively charged protons.
9		0	1	1	0	The electrical attraction between the positively charged nucleus and the negatively charged electrons is responsible for keeping the electrons bound to the nucleus.
9		0	1	2	0	The electron cloud does not collapse on the nucleus because of additional constraints imposed on the electrons by the laws of quantum mechanics.
9	P	0	1	2	1	Charge is an inherent property of the electron, which means it is impossible to remove the charge from an  electron- there is no such thing as a discharged electron.
9	SY	0	2	2	2	Experiments show that All electrical charge comes in whole-number multiples of the electrical charge on the electron.
9	DF	1	1	1	0	For this reason, the magnitude of the charge on the electron, designated by the letter e, is called the elementary charge.
9	P	1	1	0	0	Every atom contains equal numbers of electrons and protons.
9		2	1	0	1	Because atoms are neutral, the fact that they contain equal numbers of electrons and protons tells us that the magnitude of the positive charge on the proton is also e. The charge on an electron is - e, and that on a proton +e .
9		2	1	1	1	As with electrons, the charge cannot be removed from a proton.
9	P	0	1	1	0	Given that macroscopic objects contain an immense number of atoms and that each atom can contain dozens of electrons and protons, we see that ordinary objects contain an immense number of positively charged protons, exactly balanced by an equal number of negatively charged electrons.
9		0	0	0	1	A surplus of just a minute fraction of these numbers is sufficient to give rise to a noticeable macroscopic charge.
9		0	0	1	0	For example, when you pull apart two strips of transparent tape, the separation causes a surplus of less than one in a trillion (1012 ) electrons.
9		0	0	1	0	(Because there are about 1022 electrons in the strip, that fraction represents some 1010, or ten billion electrons.)
9	P	1	0	1	0	When two atoms are brought close together, they may form a chemical bond by transferring one or more electrons from one atom to the other.
9	DF	1	1	1	0	Once such an electron transfer takes place, both atoms contain unequal numbers of electrons and protons and are now called ions instead of  atoms.
9		0	1	0	0	One of the two ions has gained one or more electrons, meaning it contains more electrons than protons and therefore carries a negative charge.
9		0	2	0	0	The other ion, the one that lost electrons, contains more protons than electrons and so carries a positive charge.
9	P	0	0	2	0	Ions in solids are always immobile, but ions in liquids can move freely.
9		0	0	4	0	For instance, in table salt, a compound made of pairs of sodium (Na+) and chloride (Cl-) ions, the charged ions hardly move at all, meaning that solid table salt is an electrical insulator.
9		1	0	5	0	Dissolve table salt in water, however, and the solution contains large quantities of positively charged sodium ions and negatively charged chloride ions.
9		1	0	4	1	Because these ions can move freely, the solution is an elec-trical conductor.
9	P	0	1	3	0	Some solids are made not of paired ions the way sodium chloride is but rather of individual atoms.
9		0	1	4	0	In atomic solids that are electrical insulators, the electrons in the atoms are unable to move because each electron is bound to a specific atom.
9		1	2	4	1	Diamond (made of the element carbon) and glass are two familiar examples.
9		1	2	3	1	Metals are also atomic solids rather than ionic solids, but in metals, each atom gives up one or more electrons to a shared "gas" of electrons that spreads throughout the volume of the metal.
9		2	2	3	0	The metal as a whole is still neutral: The negative charge of the electron gas is exactly balanced by the positive charge of the ions.
9		2	2	2	1	The electrons in the gas are called free electrons because they can move freely inside the metal; these electrons are responsible for the easy flow of charge through a metal.
9	P	1	0	0	1	Nearly all electrical phenomena are due to the transfer of electrons-and therefore charge-from one atom to another.
9		1	1	3	1	For example, when the sticky side of one strip of transparent tape is applied on top of the nonsticky side of a second strip, atoms in the adhesive from the top strip form chemical bonds with atoms in the nonsticky surface of the bottom strip by transferring electrons, as shown in Figure 22.17 on the next page.
9		1	1	3	1	These bonds are responsible for the adhesion of one strip to the other.
9		1	1	2	2	When the strips are pulled apart quickly, the bonds are broken, but not all electrons manage to get back to the top strip.
9		1	0	2	1	The bottom strip thus ends up with a surplus of electrons, making it negatively charged, and the top one with a deficit of electrons, making it positively charged.
9	FN	0	0	0	0	*Depending on the type of adhesive and the material of the backing, the transfer of electrons can also be in the other direction.
9	FIG	0	0	0	0	Figure 22.16  Structure of the atom (not to scale).
10	P	0	0	0	0	As we saw in Section 10.4, friction between two surfaces also involves the breaking of chemical bonds.
10		1	0	0	0	As with the separation of the tape strips, this bond breaking sometimes leaves surplus charge on the surfaces.
10		1	1	1	0	When you touch a piece of plastic food wrap to a piece of styrofoam, for instance, chemical bonds form between atoms on the two surfaces.
10		1	1	1	0	In these bonds, electrons from the styrofoam move to the wrap.
10		1	1	1	1	If you then rub the surfaces against each other, these bonds are broken, and some of the electrons originally on the styrofoam stay on the wrap.
10		2	1	1	1	If the breaking of the chemical bonds occurs slowly, the electrons migrate back and no surplus charge builds up.
10		2	0	1	1	For that reason it is necessary to rub vigorously or to separate strips of tape quickly.
10	SY	4	1	5	4	The key point is: Any two dissimilar materials become charged when brought into contact with each other.
10	SY	4	1	5	4	When they are separated rapidly, small amounts of opposite charge may be left behind on each material.
10	P	0	0	0	1	Because charging by breaking of chemical bonds is due to a transfer of charge, we now see that for every surplus of negative charge that appears in one place, an equal surplus of positive charge appears somewhere else.
10		1	0	0	1	After the two strips in Figure 22.17 are separated, the sum of the positive charge on the T strip and the negative charge on the B strip is still zero.
10		1	0	0	1	No creation or destruction of charge is involved, suggesting that electrical charge-like momentum, energy, and angular momentum-is a conserved quantity.
10	SY	2	5	5	0	The principle of conservation of charge states: Electrical charge can be created or destroyed only in identical positive-negative pairs such that the charge of a closed system always remains constant.
10	P	0	0	0	0	No process has ever been found to violate this principle.
